case,log,subset,code_agent,later_ec,peer_step,peer_ec,peer_record_agent,earlier_proposer,same_proposer,same_error_class,failure_in_context,failing_code_in_context,gap_turns,omitted_turns
0,104.json,Algorithm-Generated,DebuggingOptimization_Expert,ExecutionError,0,ExecutionError,pythondebugging_expert,,False,True,True,False,7,0
1,109.json,Algorithm-Generated,Geography_Expert,NameError,4,TypeError,computer_terminal,Grocery_Expert,False,False,True,True,1,1
2,109.json,Algorithm-Generated,Geography_Expert,ReadTimeoutError,4,TypeError,computer_terminal,Grocery_Expert,False,False,True,False,3,3
3,112.json,Algorithm-Generated,Validation_Expert,NotFound,1,IndentationError,computer_terminal,HistoricalWeatherData_Expert,False,False,True,True,1,0
4,112.json,Algorithm-Generated,HistoricalWeatherData_Expert,KeyError,1,IndentationError,computer_terminal,HistoricalWeatherData_Expert,True,False,True,True,3,0
5,116.json,Algorithm-Generated,Verification_Expert,FileNotFoundError,2,FileNotFoundError,computer_terminal,DataManipulation_Expert,False,True,True,True,1,0
6,117.json,Algorithm-Generated,Debugging_Expert,ExecutionError,0,ExecutionError,json_expert,,False,True,True,False,1,0
7,118.json,Algorithm-Generated,Verification_Expert,ValueError,2,FileNotFoundError,computer_terminal,Statistics_Expert,False,False,True,True,1,0
8,120.json,Algorithm-Generated,Verification_Expert,ValueError,2,ModuleNotFoundError,computer_terminal,Verification_Expert,True,False,True,True,3,0
9,121.json,Algorithm-Generated,Debugging_Expert,ExecutionError,0,ExecutionError,json_expert,,False,True,True,False,1,0
10,122.json,Algorithm-Generated,BingAPI_Expert,RateLimited,4,NameError,computer_terminal,BingAPI_Expert,True,False,True,True,1,0
11,123.json,Algorithm-Generated,Geospatial_Expert,ValueError,4,AdapterHTTPError,computer_terminal,Paintball_Expert,False,False,True,True,1,0
12,126.json,Algorithm-Generated,CorporateHistory_IPOs_MondayCom_Expert,NameError,2,TypeError,computer_terminal,CorporateHistory_IPOs_MondayCom_Expert,True,False,True,True,1,0
13,13.json,Algorithm-Generated,Verification_Expert,NameError,2,TypeError,computer_terminal,Chinese_Zodiac_Expert,False,False,True,False,5,1
14,23.json,Algorithm-Generated,DataVerification_Expert,HTTPError,4,NameError,computer_terminal,Church_Historian_Expert,False,False,True,True,1,0
15,25.json,Algorithm-Generated,ModelEvaluation_Interpretation_Expert,HTTPError,2,NameError,computer_terminal,Physics_Expert,False,False,True,False,2,1
16,29.json,Algorithm-Generated,Validation_Expert,NameError,5,KeyError,computer_terminal,Validation_Expert,True,False,True,True,3,2
17,3.json,Algorithm-Generated,Verification_Expert,NotFound,3,ExecutionError,computer_terminal,Statistics_Expert,False,False,True,True,1,0
18,59.json,Algorithm-Generated,DataVerification_Expert,ExecutionError,1,AttributeError,computer_terminal,DataExtraction_Expert,False,False,True,True,1,0
19,59.json,Algorithm-Generated,DataExtraction_Expert,ExecutionError,1,AttributeError,computer_terminal,DataExtraction_Expert,True,False,True,True,3,0
20,59.json,Algorithm-Generated,DataAnalysis_Expert,EmptyDataError,1,AttributeError,computer_terminal,DataExtraction_Expert,False,False,False,True,7,3
21,61.json,Algorithm-Generated,PythonProgramming_Expert,NotFound,6,AttributeError,computer_terminal,PythonProgramming_Expert,True,False,True,True,1,0
22,69.json,Algorithm-Generated,VideoContentAnalysis_Expert,NotFound,2,NameError,computer_terminal,VideoContentAnalysis_Expert,True,False,True,True,1,0
23,69.json,Algorithm-Generated,VideoContentAnalysis_Expert,KeyError,2,NameError,computer_terminal,VideoContentAnalysis_Expert,True,False,True,True,3,0
24,69.json,Algorithm-Generated,VideoContentAnalysis_Expert,ExecutionError,2,NameError,computer_terminal,VideoContentAnalysis_Expert,True,False,True,True,5,0
25,77.json,Algorithm-Generated,ResultVerification_Expert,ModuleNotFoundError,3,NotFound,computer_terminal,YouTubeDownload_Expert,False,False,True,True,3,0
26,78.json,Algorithm-Generated,Neurology_Expert,ExecutionError,2,ExecutionError,computer_terminal,Literature_Expert,False,True,True,True,1,0
27,80.json,Algorithm-Generated,PythonDebugging_Expert,ExecutionError,0,Exception,pythondebugging_expert,,False,False,False,False,0,0
28,80.json,Algorithm-Generated,Environment_Expert,RateLimited,0,Exception,pythondebugging_expert,,False,False,True,False,2,0
29,80.json,Algorithm-Generated,Verification_Expert,RateLimited,0,Exception,pythondebugging_expert,,False,False,True,False,4,1
30,80.json,Algorithm-Generated,Verification_Expert,NotFound,0,Exception,pythondebugging_expert,,False,False,True,False,4,1
31,83.json,Algorithm-Generated,DataAnalysis_Expert,ExecutionError,2,ParserError,computer_terminal,DataAnalysis_Expert,True,False,True,True,6,0
32,88.json,Algorithm-Generated,DataValidation_Expert,FileNotFoundError,1,IndentationError,computer_terminal,FinancialData_Expert,False,False,True,True,1,0
33,88.json,Algorithm-Generated,Verification_Expert,FileNotFoundError,1,IndentationError,computer_terminal,FinancialData_Expert,False,False,True,True,3,0
34,91.json,Algorithm-Generated,Data_Analysis_Expert,KeyError,1,IndentationError,computer_terminal,Data_Analysis_Expert,True,False,True,True,1,0
35,91.json,Algorithm-Generated,Data_Analysis_Expert,IndexError,1,IndentationError,computer_terminal,Data_Analysis_Expert,True,False,True,True,5,0
